city,country,region,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18
Milan,Italy,Europe,-3.7117087528933146,-2.076916258530906,-0.3217603452951358,-1.6971134154639138,0.6996899300701808,-0.44162451599051655,-0.40836023928376475,-0.9029141615051147,-0.05785972981969903,-0.12507342906913183,-0.3749585173085598,0.8873996855179899,0.2653426086605892,1.0530299233833647,-0.851110403199716,-0.5779531291344915,0.8950464099528621,-0.7243768651530964
Yasawa Islands,Fiji,Oceania,6.864046839970713,-1.974151541873059,0.7351398313092208,-1.9974884212653847,2.890280250858453,1.1825110333194688,-1.8055780985717613,-0.6792575597571107,0.9804179420830111,-1.1835650274120604,-0.47927449306092884,-1.7850283694215383,-1.3421752033601628,-0.9841999139222711,-0.7966415705291543,0.45173139774545623,0.8485656697863161,0.2979465532641261
Whistler,Canada,North_America,3.1755727538135807,-0.6541004938040723,-0.5223933060304816,-2.7207837458977777,-3.400324929305008,1.658261940520607,1.86033364596348,1.8102638618579094,0.8648541087838392,-0.7510443409947283,0.5011184427873754,0.5881105872148651,-0.24825988982686323,0.08002642032889183,-0.2180533593299144,2.123172394803274,0.1640657612787695,-0.1655742290669886
Guanajuato,Mexico,North_America,-1.5988682381432733,0.21317420687200042,-0.4901039460768276,-0.7916148832219713,0.6817600261214436,0.08019953193030423,1.345497466243475,0.5565491746766323,-0.3953387803851523,0.18703717922246546,1.568651161104544,1.008570366912253,-0.517910474280528,-0.3221567852077995,-0.5816699503673258,0.8879626258460804,-0.035505466070851574,0.23090948184124016
Surabaya,Indonesia,Asia,-1.326090409093398,2.704484466967193,7.5522132029332125,0.18312516672259804,-0.2643855912947643,-0.28633957345456135,-0.12502256421468902,0.9563851760399704,-1.0242071941027433,0.0527426401779633,0.009629571437429013,-0.8681861623690564,0.20719604222377114,0.030494831155982182,-0.9632800211641931,-0.5098758115773839,0.09587075910853822,0.9393728666134709
Nuuk,Greenland,North_America,2.580148914672416,-0.005440313758754095,-2.2340186581314403,-1.5304876871334232,-2.7001053982695806,-1.0981908536158755,-0.07500017967466154,-1.4988460099303493,-1.5803415045706475,-0.3850889248628193,-1.1466320918208703,1.653070597765226,0.4865962896598416,0.24357168986117977,0.8802147219079965,-1.456068058184894,1.357686550256911,-0.20160713714174777
Windhoek,Namibia,Africa,1.6507596313868953,-0.5272151260802337,-0.4728423515521029,1.4583166808536967,-0.6848831710265758,-1.4056143939754497,0.07899158412179498,0.5503321807605572,-0.8573902597542534,0.2523811432113171,-0.1622897154269164,0.09660762100689894,-1.4215662685353438,0.5911885259296257,-0.601044693140913,-0.24181909756546585,0.06895535364835552,0.3821792357358228
Kingston,Jamaica,North_America,-0.9133647264676713,-1.929527390827366,0.32031544598406175,1.047723317377973,1.2506287012331379,0.18555520967394537,0.31296826899385954,-0.5259609133251187,-0.9462117468740473,-0.059245185952704,-0.7135537538691883,0.6857123264863396,0.6830245083976234,0.6043107168741241,-0.4398579198985191,0.370883756404059,0.09445727495275809,-1.3079771486186498
Nafplio,Greece,Europe,0.46686906409327816,2.6270226238394376,-0.9961753574808982,-1.440303259582113,1.2741165899378868,2.8135131536611295,-1.0146395861509732,2.9524932752608377,1.3977490632528249,1.1590298183434293,-1.1003422127201345,1.7301740175908669,1.4424999038159576,-0.7820531705941784,-0.6974729534552447,-0.17476377580626168,-0.4205676826463951,0.5325285073122407
Tbilisi,Georgia,Asia,-1.2470929639897836,1.25803143147059,-0.44636144105910386,-0.062367613629185845,0.21733673859131628,-0.2973359230303981,0.9240218340392863,-0.8128379811743813,0.6611043162553417,0.31036672123801906,-0.15381245767629395,-0.27467229858530723,-0.573622378201412,-0.8379747777433695,0.15742566840283828,0.230730615614306,-0.7144631480528314,0.028052521097201147
